timestamp,ax,ay,az,gx,gy,gz,activity
505561, 0.749878, -0.459595, 1.018799, -25.573738, 38.513184, -16.235352,updown
505581, 0.724487, -0.419312, 1.041016, -16.906738, -47.180191, -62.500015,updown
505601, 0.687988, -0.158936, 0.780884, 11.047363, -136.474609, -115.417511,updown
505621, 0.655029, 0.112427, 0.406982, 39.489746, -189.880432, -129.943848,updown
505641, 0.631470, 0.150146, 0.154785, 28.564461, -202.880920, -87.219238,updown
505661, 0.597778, 0.022827, 0.111450, -1.586915, -209.228577, -66.467285,updown
505681, 0.512207, -0.029785, 0.011841, -22.766121, -231.689514, -78.918457,updown
505701, 0.395386, 0.047607, -0.185669, -0.244141, -265.380859, -117.858917,updown
505721, 0.266968, 0.195190, -0.440552, 54.748550, -303.466797, -153.320313,updown
505741, 0.156006, 0.324097, -0.691406, 98.205597, -335.144043, -154.113770,updown
505761, 0.064453, 0.363037, -0.935303, 102.050812, -347.412109, -122.619659,updown
505781, -0.152344, 0.286621, -1.164063, 72.753906, -364.318970, -82.885742,updown
505801, -0.328857, 0.162720, -1.569580, 72.143555, -359.741333, -80.139160,updown
505821, -0.413330, 0.278198, -2.021362, 66.650391, -257.263184, -98.938019,updown
505841, -0.380005, 0.378662, -2.106445, 59.631363, -163.024902, -78.735352,updown
505861, -0.330811, 0.382935, -2.025146, 39.978027, -73.425293, -44.128418,updown
505881, -0.252441, 0.359375, -1.805542, 24.108894, -2.258301, -10.620117,updown
505901, -0.141235, 0.290894, -1.470337, -6.835939, 45.349136, 24.169930,updown
505921, -0.062134, 0.152344, -1.161865, -35.095215, 63.781754, 47.790543,updown
505941, -0.033936, 0.008057, -0.959717, -42.358398, 52.185074, 45.104996,updown
505961, -0.049683, -0.030518, -0.938232, -25.207527, 14.465336, 15.075687,updown
505981, -0.257202, 0.183838, -1.386841, 33.691406, -44.982925, -38.513184,updown
506001, -0.376587, 0.323975, -1.863281, 68.908691, -48.706070, -50.170914,updown
506021, -0.464111, 0.434570, -2.202637, 65.673828, 13.305668, -25.024422,updown
506041, -0.497192, 0.435425, -2.286987, 31.982430, 126.037628, 23.986824,updown
506061, -0.503052, 0.328979, -2.035034, -5.554201, 243.774475, 66.406250,updown
506081, -0.442383, 0.221680, -1.537842, -60.974136, 325.500488, 98.632843,updown
506101, -0.298096, 0.131348, -1.108154, -80.932617, 362.976196, 118.103058,updown
