timestamp,ax,ay,az,gx,gy,gz,activity
147864, 0.465210, -0.695190, 0.645020, -35.461426, 12.573246, -11.657719,wrist curl
147884, 0.502563, -0.675781, 0.600464, -19.897461, 5.187988, 0.976563,wrist curl
147904, 0.484497, -0.668579, 0.554199, -7.019045, 0.793457, 9.948730,wrist curl
147924, 0.432007, -0.600952, 0.558228, 5.249023, -6.103518, 15.869144,wrist curl
147944, 0.385498, -0.531372, 0.516724, 39.306641, -7.934572, 22.949226,wrist curl
147964, 0.402466, -0.567993, 0.501099, 70.068359, -10.864258, 31.921394,wrist curl
147984, 0.385132, -0.579712, 0.521118, 99.060089, -20.751953, 38.269043,wrist curl
148004, 0.345215, -0.615479, 0.561157, 117.187531, -23.437508, 38.330078,wrist curl
148024, 0.320435, -0.640137, 0.707031, 125.671417, -6.591799, 21.972656,wrist curl
148044, 0.413696, -0.686523, 0.835938, 118.957550, -2.380371, 6.164553,wrist curl
148064, 0.460693, -0.783325, 0.941528, 78.857422, -5.187988, -3.234864,wrist curl
148084, 0.467285, -0.918823, 0.812622, 19.775391, -14.892582, -5.554201,wrist curl
148104, 0.483643, -0.834106, 0.942383, -67.749023, -0.915528, -15.197758,wrist curl
148124, 0.447754, -0.790405, 0.838745, -131.408691, 5.432129, -2.563477,wrist curl
148144, 0.378662, -0.753906, 0.797729, -163.818359, 6.835939, -2.990724,wrist curl
148164, 0.351074, -0.757446, 0.758057, -200.134338, 11.474613, -14.526371,wrist curl
148184, 0.375977, -0.800415, 0.711548, -228.515686, 32.226563, -31.799324,wrist curl
148204, 0.415527, -0.846680, 0.632568, -267.944336, 12.573246, -45.593277,wrist curl
148224, 0.362305, -0.865723, 0.517212, -271.118164, 27.526863, -50.415054,wrist curl
148244, 0.364868, -0.678345, 0.429810, -260.192871, 6.408693, -45.410172,wrist curl
148264, 0.420654, -0.614380, 0.303833, -235.351624, 5.065918, -35.888672,wrist curl
148284, 0.446411, -0.842285, 0.201904, -212.219299, -1.770020, -31.311043,wrist curl
148304, 0.460449, -0.815308, 0.202637, -208.557190, -4.333496, -37.109375,wrist curl
148324, 0.418579, -0.619263, 0.116455, -171.630859, -10.864258, -27.526863,wrist curl
148344, 0.441406, -0.589966, 0.024902, -126.098663, -8.789063, -16.601563,wrist curl
148364, 0.519165, -0.700195, -0.020630, -89.294464, -2.990724, -13.916019,wrist curl
148384, 0.581421, -0.808838, -0.047974, -70.312500, 0.061035, -18.981934,wrist curl
148404, 0.589722, -0.824707, -0.063110, -58.898941, 1.159668, -22.521980,wrist curl
148424, 0.607422, -0.771118, -0.087036, -40.893555, -3.417970, -17.639160,wrist curl
148444, 0.589111, -0.679810, -0.117554, -12.695316, -6.896975, -8.972168,wrist curl
148464, 0.582153, -0.618408, -0.136597, 24.841316, -10.681152, 4.455566,wrist curl
148484, 0.543091, -0.589111, -0.143433, 93.383820, -10.986328, 26.245125,wrist curl
148504, 0.514282, -0.611084, -0.094116, 134.582520, -6.469728, 35.461426,wrist curl
148524, 0.500854, -0.633667, -0.023926, 175.415039, -1.342773, 41.931152,wrist curl
148544, 0.499390, -0.569946, 0.039185, 222.290100, -5.432129, 44.982925,wrist curl
148564, 0.473145, -0.599243, 0.165649, 260.803223, -6.347658, 40.771484,wrist curl
